combined_fips,votes_dem_2020,votes_gop_2020,total_votes_2020,per_dem_2020,per_gop_2020,diff_2020,per_point_diff_2020,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,county_name,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
12001,89704,50972,"142,604",0.629042664,0.357437379,38732,0.271605285,75370,46584,127827,0.58962504,0.36443005,28786,0.22519499,Alachua County,120318,69634,48765,0.578749647,0.405300952,20869,0.173448694
12003,2037,11911,"14,059",0.144889395,0.847215307,9874,0.702325912,2112,10294,12634,0.167167959,0.814785499,8182,-0.64761754,Baker County,11366,2310,8974,0.203237727,0.789547774,6664,-0.586310048
12005,25614,66097,"93,024",0.275348297,0.710537066,40483,0.435188768,21689,62010,87151,0.248866909,0.711523677,40321,-0.462656768,Bay County,79834,22037,56863,0.276035273,0.712265451,34826,-0.436230178
12007,3160,10334,"13,632",0.231807512,0.758069249,7174,0.526261737,2924,8913,12098,0.241692842,0.736733344,5989,-0.495040503,Bradford County,11631,3324,8216,0.28578798,0.706388101,4892,-0.42060012
12009,148549,207883,"360,764",0.41176226,0.57622989,59334,0.16446763,119525,181620,314337,0.380244769,0.577787534,62095,-0.197542765,Brevard County,285504,122972,159270,0.430719009,0.557855582,36298,-0.127136573
12011,618752,333409,957672,0.646100126,0.348145294,285343,0.297954832,546956,258521,822837,0.664719744,0.314182517,288435,0.350537227,Broward County,755166,507430,243732,0.671944976,0.322752878,263698,0.349192098
12013,1209,5274,"6,526",0.185258964,0.808152007,4065,0.622893043,1236,4647,6067,0.20372507,0.765946926,3411,-0.562221856,Calhoun County,6152,1664,4366,0.270481144,0.709687906,2702,-0.439206762
12015,42273,73243,116340,0.363357401,0.629559911,30970,0.26620251,33421,60196,96323,0.346968014,0.624939007,26775,-0.277970993,Charlotte County,84664,35896,47988,0.423981858,0.566805254,12092,-0.142823396
12017,27092,65352,93208,0.290661746,0.701141533,38260,0.410479787,22765,54377,79590,0.286028396,0.683213972,31612,-0.397185576,Citrus County,73923,28453,44657,0.384900505,0.604101565,16204,-0.219201061
12019,38317,84480,124405,0.30800209,0.679072385,46163,0.371070295,27768,74898,106363,0.261068229,0.704173444,47130,-0.443105215,Clay County,96549,25745,69996,0.266652166,0.724979026,44251,-0.45832686
