iter	Passed	Remaining
0	1	1949
1	2	1490
2	3	1324
3	5	1278
4	6	1222
5	7	1181
6	8	1165
7	9	1144
8	10	1126
9	11	1109
10	12	1094
11	13	1081
12	14	1070
13	15	1061
14	16	1054
15	17	1058
16	18	1042
17	19	1038
18	19	1025
19	20	1011
20	21	998
21	22	987
22	23	976
23	23	966
24	27	1059
25	28	1080
26	30	1097
27	32	1129
28	34	1142
29	35	1155
30	37	1169
31	39	1179
32	40	1187
33	41	1185
34	43	1194
35	45	1221
36	46	1221
37	48	1213
38	48	1202
39	50	1205
40	51	1203
41	52	1196
42	53	1191
43	54	1183
44	55	1180
45	56	1177
46	57	1170
47	58	1162
48	59	1156
49	60	1157
50	62	1157
51	76	1391
52	77	1379
53	78	1365
54	79	1356
55	79	1346
56	80	1337
57	81	1328
58	82	1321
59	83	1313
60	84	1305
61	85	1297
62	86	1287
63	87	1278
64	88	1268
65	89	1259
66	89	1249
67	90	1240
68	91	1232
69	92	1223
70	93	1215
71	94	1213
72	95	1210
73	96	1204
74	97	1199
75	98	1192
76	98	1185
77	99	1178
78	100	1171
79	101	1164
80	102	1158
81	103	1159
82	104	1157
83	105	1151
84	106	1144
85	118	1262
86	119	1256
87	120	1249
88	121	1242
89	122	1242
90	123	1236
91	124	1231
92	125	1225
93	126	1220
94	127	1214
95	128	1209
96	129	1203
97	130	1201
98	131	1199
99	132	1194
100	133	1189
101	134	1186
102	135	1182
103	137	1182
104	138	1180
105	139	1176
106	140	1175
107	142	1174
108	143	1170
109	144	1166
110	145	1162
111	146	1158
112	147	1156
113	148	1152
114	149	1148
115	150	1143
116	151	1139
117	152	1135
118	152	1131
119	153	1127
120	154	1123
121	155	1119
122	156	1115
123	157	1112
124	159	1114
125	160	1110
126	161	1106
127	161	1101
128	162	1097
129	163	1092
130	164	1088
131	165	1084
132	165	1080
133	166	1076
134	167	1072
135	168	1068
136	169	1064
137	170	1063
138	171	1059
139	172	1055
140	172	1051
141	173	1047
142	174	1043
143	175	1039
144	175	1036
145	177	1034
146	177	1031
147	178	1027
148	179	1025
149	180	1021
150	181	1018
151	182	1014
152	183	1012
153	184	1010
154	185	1007
155	185	1004
156	186	1000
157	187	998
158	188	995
159	189	992
160	190	989
161	190	986
162	191	983
163	192	980
164	193	977
165	194	973
166	194	970
167	195	967
168	196	964
169	197	961
170	197	958
171	198	955
172	199	953
173	200	951
174	201	948
175	202	945
176	202	942
177	203	939
178	204	936
179	205	934
180	206	931
181	207	929
182	207	926
183	208	924
184	209	921
185	210	918
186	211	917
187	212	914
188	212	911
189	213	909
190	214	906
191	215	904
192	215	901
193	216	899
194	217	896
195	218	894
196	219	892
197	219	889
198	220	887
199	221	885
200	223	885
201	224	883
202	224	881
203	225	879
204	226	877
205	227	874
206	227	872
207	228	869
208	229	867
209	230	865
210	231	863
211	231	860
212	232	858
213	233	856
214	234	853
215	235	852
216	235	849
217	236	847
218	237	845
219	238	843
220	238	841
221	239	839
222	240	836
223	241	834
224	242	832
225	242	830
226	243	829
227	244	826
228	245	824
229	246	825
230	248	824
231	249	824
232	250	822
233	250	820
234	251	818
235	252	817
236	253	816
237	255	815
238	262	835
239	263	834
240	264	832
241	266	832
242	267	831
243	268	829
244	268	827
245	270	827
246	271	825
247	271	823
248	272	821
249	273	819
250	274	817
251	275	815
252	276	815
253	277	814
254	278	813
255	279	812
256	280	810
257	281	808
258	282	807
259	283	806
260	284	804
261	285	803
262	286	801
263	287	799
264	288	798
265	288	796
266	289	794
267	290	792
268	291	790
269	292	788
270	292	786
271	294	786
272	295	784
273	295	782
274	296	780
275	297	779
276	298	777
277	299	776
278	300	774
279	300	772
280	301	771
281	302	769
282	303	768
283	304	767
284	305	766
285	306	764
286	307	763
287	308	761
288	309	759
289	310	758
290	311	756
291	311	755
292	312	753
293	313	751
294	314	749
295	315	748
296	315	746
297	316	744
298	317	743
299	318	741
300	319	740
301	319	738
302	320	736
303	321	735
304	322	733
305	323	731
306	323	730
307	324	728
308	325	727
309	326	726
310	333	738
311	334	736
312	335	734
313	336	733
314	336	731
315	337	729
316	338	728
317	339	726
318	340	724
319	341	724
320	342	722
321	343	722
322	344	721
323	345	719
324	346	718
325	347	716
326	347	714
327	348	713
328	349	711
329	350	709
330	350	708
331	351	707
332	352	705
333	353	704
334	354	702
335	355	701
336	356	699
337	357	698
338	358	697
339	358	695
340	359	694
341	360	692
342	361	691
343	362	689
344	362	687
345	363	686
346	364	684
347	365	683
348	366	681
349	366	680
350	367	678
351	368	677
352	369	675
353	370	674
354	370	673
355	371	671
356	372	670
357	373	669
358	375	668
359	376	667
360	376	665
361	377	664
362	378	662
363	379	661
364	379	659
365	380	658
366	381	656
367	382	655
368	383	653
369	383	652
370	384	650
371	385	649
372	386	647
373	387	646
374	387	645
375	388	643
376	389	642
377	390	640
378	390	639
379	391	638
380	392	636
381	393	635
382	394	633
383	394	632
384	395	631
385	396	629
386	397	628
387	398	627
388	399	626
389	400	624
390	400	623
391	401	621
392	402	620
393	403	619
394	404	618
395	405	617
396	406	615
397	407	614
398	408	613
399	408	612
400	409	611
401	410	610
402	411	608
403	412	607
404	415	609
405	416	608
406	417	607
407	418	606
408	424	612
409	425	611
410	426	610
411	427	609
412	428	608
413	429	607
414	430	606
415	431	604
416	432	603
417	433	602
418	434	601
419	435	599
420	438	601
421	439	600
422	440	599
423	440	597
424	441	596
425	442	595
426	443	593
427	444	592
428	445	591
429	446	590
430	447	589
431	448	588
432	449	587
433	449	585
434	450	584
435	451	583
436	452	581
437	453	580
438	454	579
439	454	578
440	455	576
441	456	575
442	457	574
443	458	573
444	459	572
445	461	571
446	462	570
447	463	569
448	464	568
449	465	567
450	466	566
451	467	565
452	468	564
453	469	563
454	469	561
455	470	560
456	471	559
457	472	558
458	473	557
459	474	555
460	475	554
461	476	553
462	477	552
463	478	551
464	481	553
465	482	552
466	483	551
467	484	550
468	485	548
469	486	547
470	487	546
471	487	544
472	488	543
473	489	542
474	490	541
475	491	539
476	492	538
477	493	537
478	493	536
479	494	534
480	495	533
481	496	532
482	497	531
483	498	530
484	499	529
485	500	528
486	502	528
487	503	527
488	504	526
489	505	524
490	506	523
491	506	522
492	507	521
493	508	519
494	509	518
495	510	517
496	510	515
497	511	514
498	512	513
499	513	512
500	513	510
501	515	510
502	516	509
503	517	507
504	517	506
505	518	505
506	519	503
507	520	502
508	521	501
509	521	500
510	522	499
511	523	497
512	524	496
513	524	495
514	525	494
515	526	493
516	527	491
517	528	490
518	529	489
519	530	488
520	530	487
521	531	485
522	532	484
523	533	483
524	534	482
525	534	481
526	535	479
527	536	478
528	537	477
529	538	476
530	539	475
531	540	474
532	541	473
533	541	471
534	542	470
535	543	469
536	544	468
537	545	466
538	545	465
539	546	464
540	547	463
541	548	462
542	549	461
543	550	460
544	551	459
545	552	458
546	553	457
547	554	456
548	555	454
549	555	453
550	556	452
551	557	451
552	558	450
553	558	449
554	559	447
555	560	446
556	562	445
557	563	445
558	563	443
559	564	442
560	565	441
561	566	440
562	566	439
563	567	437
564	568	436
565	569	435
566	570	434
567	570	433
568	571	431
569	572	430
570	573	429
571	573	428
572	574	427
573	575	426
574	576	425
575	577	424
576	578	422
577	578	421
578	579	420
579	580	419
580	581	418
581	582	417
582	582	415
583	583	414
584	584	413
585	585	412
586	586	411
587	587	410
588	588	409
589	589	408
590	590	407
591	591	406
592	592	405
593	593	404
594	593	403
595	594	402
596	596	401
597	596	400
598	597	399
599	598	398
600	599	397
601	600	396
602	601	395
603	602	394
604	603	393
605	604	392
606	605	391
607	606	390
608	607	388
609	608	387
610	609	386
611	609	385
612	610	384
613	611	383
614	612	382
615	613	381
616	613	380
617	614	378
618	615	377
619	616	376
620	616	375
621	617	374
622	618	373
623	619	372
624	620	371
625	621	370
626	622	369
627	624	368
628	625	368
629	627	367
630	629	367
631	631	366
632	632	365
633	634	365
634	635	364
635	636	363
636	637	362
637	638	361
638	639	360
639	640	359
640	641	358
641	642	357
642	643	356
643	644	355
644	645	354
645	646	353
646	647	352
647	648	351
648	694	374
649	698	374
650	699	373
651	700	372
652	700	371
653	701	370
654	702	368
655	703	367
656	704	366
657	704	365
658	705	364
659	706	362
660	707	361
661	708	360
662	709	359
663	710	358
664	711	357
665	712	356
666	713	355
667	714	353
668	715	352
669	716	351
670	717	350
671	718	349
672	719	348
673	720	347
674	721	346
675	722	345
676	739	351
677	740	350
678	741	349
679	742	348
680	743	347
681	744	346
682	745	345
683	746	343
684	748	343
685	749	342
686	751	341
687	752	340
688	753	338
689	753	337
690	754	336
691	755	335
692	756	334
693	757	332
694	758	331
695	778	338
696	779	337
697	780	336
698	781	335
699	782	334
700	784	333
701	786	332
702	787	331
703	788	330
704	790	329
705	791	328
706	792	327
707	792	325
708	793	324
709	794	323
710	795	322
711	796	320
712	797	319
713	798	318
714	798	317
715	799	316
716	800	314
717	801	313
718	802	312
719	803	311
720	804	310
721	806	309
722	806	308
723	807	306
724	808	305
725	809	304
726	810	303
727	811	302
728	813	301
729	815	300
730	815	299
731	817	298
732	818	296
733	819	295
734	820	294
735	821	293
736	821	292
737	822	290
738	825	290
739	826	289
740	827	288
741	828	287
742	829	285
743	830	284
744	832	283
745	833	282
746	834	281
747	836	280
748	837	279
749	838	278
750	839	277
751	840	276
752	841	274
753	842	273
754	843	272
755	845	271
756	849	271
757	850	270
758	851	269
759	852	267
760	853	266
761	854	265
762	855	264
763	856	263
764	857	262
765	857	260
766	860	260
767	861	259
768	862	257
769	863	256
770	864	255
771	865	254
772	866	253
773	866	252
774	867	250
775	868	249
776	869	248
777	871	247
778	872	246
779	872	245
780	873	243
781	874	242
782	875	241
783	876	240
784	877	239
785	877	237
786	878	236
787	879	235
788	880	234
789	882	233
790	883	232
791	884	231
792	885	230
793	886	228
794	887	227
795	888	226
796	889	225
797	890	224
798	891	223
799	893	222
800	894	221
801	895	220
802	896	218
803	897	217
804	898	216
805	899	215
806	900	214
807	901	213
808	902	211
809	903	210
810	905	209
811	906	208
812	907	207
813	908	206
814	909	205
815	910	204
816	911	203
817	915	202
818	917	201
819	918	200
820	920	199
821	921	198
822	929	198
823	930	197
824	931	196
825	932	195
826	933	194
827	934	192
828	935	191
829	936	190
830	937	189
831	938	188
832	940	187
833	941	186
834	942	185
835	943	183
836	944	182
837	945	181
838	946	180
839	948	179
840	949	178
841	950	177
842	951	176
843	952	175
844	953	173
845	965	174
846	968	173
847	970	172
848	972	171
849	973	170
850	974	169
851	975	168
852	976	167
853	977	165
854	978	164
855	979	163
856	981	162
857	982	161
858	983	160
859	984	159
860	985	157
861	986	156
862	987	155
863	988	154
864	989	153
865	991	152
866	992	151
867	993	149
868	994	148
869	995	147
870	996	146
871	998	145
872	999	144
873	1000	143
874	1000	141
875	1002	140
876	1003	139
877	1004	138
878	1005	137
879	1006	136
880	1006	134
881	1007	133
882	1008	132
883	1009	131
884	1010	130
885	1011	128
886	1012	127
887	1013	126
888	1014	125
889	1015	124
890	1016	123
891	1017	122
892	1018	120
893	1018	119
894	1019	118
895	1020	117
896	1021	116
897	1022	114
898	1023	113
899	1023	112
900	1024	111
901	1025	110
902	1026	109
903	1028	108
904	1029	106
905	1030	105
906	1031	104
907	1032	103
908	1033	102
909	1034	101
910	1036	100
911	1037	98
912	1038	97
913	1039	96
914	1039	95
915	1040	94
916	1041	93
917	1042	92
918	1044	90
919	1045	89
920	1046	88
921	1047	87
922	1049	86
923	1050	85
924	1051	84
925	1052	82
926	1053	81
927	1054	80
928	1055	79
929	1056	78
930	1057	77
931	1057	76
932	1058	74
933	1059	73
934	1060	72
935	1061	71
936	1062	70
937	1063	69
938	1064	68
939	1065	66
940	1066	65
941	1067	64
942	1068	63
943	1068	62
944	1069	61
945	1070	59
946	1072	58
947	1072	57
948	1073	56
949	1075	55
950	1076	54
951	1076	53
952	1077	52
953	1078	50
954	1079	49
955	1080	48
956	1081	47
957	1082	46
958	1083	45
959	1086	44
960	1087	43
961	1088	41
962	1089	40
963	1090	39
964	1091	38
965	1092	37
966	1092	36
967	1094	35
968	1095	33
969	1096	32
970	1097	31
971	1098	30
972	1099	29
973	1100	28
974	1102	27
975	1103	26
976	1104	24
977	1105	23
978	1106	22
979	1107	21
980	1107	20
981	1108	19
982	1109	18
983	1111	16
984	1113	15
985	1114	14
986	1117	13
987	1118	12
988	1119	11
989	1120	10
990	1121	9
991	1122	7
992	1124	6
993	1125	5
994	1126	4
995	1127	3
996	1128	2
997	1129	1
998	1131	0
